,id,text,tokenized_text,polaridad,negative,neutral,positive,result
10,1449606315567947778,"Spiderman 2 Leak!?!?!?!

#Spiderman2 #peterparker #milesmorales #venom #kraventhehunter #mysterio #thelizard #drconners #normanosborn #harryosborn #marvel #leak #NXL #nxlfaithful #Needextralife https://t.co/WODNdES76D","['Spiderman', '2', 'Leak', '!', '?', '!', '?', '!', '?', '!', 'https://t.co/WODNdES76D']",Spiderman 2 Leak ! ? ! ? ! ? ! https://t.co/WODNdES76D,0.291,0.709,0.0,Negative
11,1449543267943596035,"Marvel's Spider-Man 2  (2023)  Game Trailer  PS5 HD
#Spiderman2 #SpiderManPS5 #PS5Share 
https://t.co/KhobYe9UYk","[""Marvel's"", 'Spider-Man', '2', '(', '2023', ')', 'Game', 'Trailer', 'PS5', 'HD', 'https://t.co/KhobYe9UYk']",Marvel's Spider-Man 2 ( 2023 ) Game Trailer PS5 HD https://t.co/KhobYe9UYk,0.0,1.0,0.0,Neutral
12,1449536689391783936,@_southernoracle hello jonathan how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🌟💪🏻💯🕷️🕷️🕷️🕷️ #SpiderManPS5  #Spiderman2  #InsomniacGames https://t.co/91WiX5KcPc,"['hello', 'jonathan', 'today', 'want', 'present', 'new', 'suit', 'Peter', 'Parker', 'fusion', 'spidey', 'CAP', 'hope', 'like', 'approve', '️', '️', '️', '️', 'https://t.co/91WiX5KcPc']",hello jonathan today want present new suit Peter Parker fusion spidey CAP hope like approve ️ ️ ️ ️ https://t.co/91WiX5KcPc,0.0,0.717,0.283,Positive
13,1449525568047927300,"Game coming out that excite me:

#SuicideSquadGame 
#WolverinePS5 
#spiderman2
#GothamKnights 
#WWE2K22 
#CallofDutyVanguard","['Game', 'coming', 'excite', ':']",Game coming excite :,0.0,0.492,0.508,Positive
14,1449483708793294850,@yeahmergo Can’t wait for #SpiderManNoWayHome!! Plus the #spiderman2 game trailer now makes sense as to why #Venom is in it…!,"['’', 'wait', '!', '!', 'Plus', 'game', 'trailer', 'makes', 'sense', '…', '!']",’ wait ! ! Plus game trailer makes sense … !,0.0,1.0,0.0,Neutral
15,1449466843849183239,New #SpiderManNoWayHomeleak shows Tom Holland’s Peter Parker getting run over by the same train Alfred Molinas Doc Ock fought Tobey Maguire’s Peter Parker in #SpiderMan2 https://t.co/lMvHdJ48bl,"['New', 'shows', 'Tom', 'Holland', '’', 'Peter', 'Parker', 'getting', 'run', 'train', 'Alfred', 'Molinas', 'Doc', 'Ock', 'fought', 'Tobey', 'Maguire', '’', 'Peter', 'Parker', 'https://t.co/lMvHdJ48bl']",New shows Tom Holland ’ Peter Parker getting run train Alfred Molinas Doc Ock fought Tobey Maguire ’ Peter Parker https://t.co/lMvHdJ48bl,0.103,0.897,0.0,Negative
16,1449445076510277635,#Spiderman2’s Yuri Lowenthal chats about fan love for the video game trailer and Tony Todd: https://t.co/2iHKPPZGBs,"['’', 'Yuri', 'Lowenthal', 'chats', 'fan', 'love', 'video', 'game', 'trailer', 'Tony', 'Todd', ':', 'https://t.co/2iHKPPZGBs']",’ Yuri Lowenthal chats fan love video game trailer Tony Todd : https://t.co/2iHKPPZGBs,0.0,0.629,0.371,Positive
17,1449431178507952133,I wish #Venom is playable character in #SpiderMan2 #Marvel . https://t.co/hApcyFFtdK,"['wish', 'playable', 'character', '.', 'https://t.co/hApcyFFtdK']",wish playable character . https://t.co/hApcyFFtdK,0.0,0.597,0.403,Positive
18,1449383260933529601,Day 35 of asking Insomniac to please add the Captain Universe suit to Spider-Man 2 for either Peter or Miles or both 🙌 #SpiderManPS5 #SpiderMan2 #InsomniacGames https://t.co/G9vLaDEu6q,"['Day', '35', 'asking', 'Insomniac', 'please', 'add', 'Captain', 'Universe', 'suit', 'Spider-Man', '2', 'either', 'Peter', 'Miles', 'https://t.co/G9vLaDEu6q']",Day 35 asking Insomniac please add Captain Universe suit Spider-Man 2 either Peter Miles https://t.co/G9vLaDEu6q,0.0,0.859,0.141,Neutral
19,1449329578154110978,"Spider-Man 2 (2004) - Read 1,036 Movie Reviews 
Link: https://t.co/FrEpkPFFw0 
#SpiderMan2 #MovieReviews","['Spider-Man', '2', '(', '2004', ')', '-', 'Read', '1,036', 'Movie', 'Reviews', 'Link', ':', 'https://t.co/FrEpkPFFw0']","Spider-Man 2 ( 2004 ) - Read 1,036 Movie Reviews Link : https://t.co/FrEpkPFFw0",0.0,1.0,0.0,Neutral
20,1449245417070268417,Best hero shots always at the sunset #thebatman #SpiderMan2 https://t.co/N27YJpf9Xs,"['Best', 'hero', 'shots', 'always', 'sunset', 'https://t.co/N27YJpf9Xs']",Best hero shots always sunset https://t.co/N27YJpf9Xs,0.0,0.339,0.661,Positive
21,1449178902589497352,@GavinGoulden hello gavin how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it🙏🏼🙏🏼🙏🏼🙏🏼🕷️🕷️🕷️🕷️ #insomniacgames     #SpiderManPS5  #Spiderman2 https://t.co/sMTerig8N7,"['hello', 'gavin', 'today', 'want', 'present', 'new', 'suit', 'Peter', 'Parker', 'fusion', 'spidey', 'CAP', 'hope', 'like', 'approve', '️', '️', '️', '️', 'https://t.co/sMTerig8N7']",hello gavin today want present new suit Peter Parker fusion spidey CAP hope like approve ️ ️ ️ ️ https://t.co/sMTerig8N7,0.0,0.717,0.283,Positive
22,1449178450909093890,@Tommy_Toons hello tommy how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it 🙏🏼🙏🏼🙏🏼🙏🏼 #insomniacgames #SpiderManPS5  #Spiderman2 https://t.co/MpDQv563Hq,"['hello', 'tommy', 'today', 'want', 'present', 'new', 'suit', 'Peter', 'Parker', 'fusion', 'spidey', 'CAP', 'hope', 'like', 'approve', 'https://t.co/MpDQv563Hq']",hello tommy today want present new suit Peter Parker fusion spidey CAP hope like approve https://t.co/MpDQv563Hq,0.0,0.66,0.34,Positive
23,1449118208426971136,"Our friendly neighbor is ready to join the fun 🕷

Book now and avail 10% discount here: https://t.co/Al2hhE1fOx #skyhighpartyrentals #bouncehouse #moonwalk #inflatables #partyrentals #moonwalkrentals #adultbouncehouse #spiderman #spiderman2 https://t.co/uYE6aiO0Rk","['friendly', 'neighbor', 'ready', 'join', 'fun', 'Book', 'avail', '10', '%', 'discount', ':', 'https://t.co/Al2hhE1fOx', 'https://t.co/uYE6aiO0Rk']",friendly neighbor ready join fun Book avail 10 % discount : https://t.co/Al2hhE1fOx https://t.co/uYE6aiO0Rk,0.0,0.446,0.554,Positive
24,1449094221651234824,#SpiderMan2 Star #YuriLowenthal Talks Working With #TonyTodd And Fan Response To The Trailer (Exclusive) https://t.co/jvQ2aN4KtQ https://t.co/JsyZVBshLs,"['Star', 'Talks', 'Working', 'Fan', 'Response', 'Trailer', '(', 'Exclusive', ')', 'https://t.co/jvQ2aN4KtQ', 'https://t.co/JsyZVBshLs']",Star Talks Working Fan Response Trailer ( Exclusive ) https://t.co/jvQ2aN4KtQ https://t.co/JsyZVBshLs,0.0,0.703,0.297,Positive
25,1449091203270651909,Movie Marathon Review: Spider-Man 2. #spiderman #nowayhome #spiderman2 #movies https://t.co/lVJjvNRV4Q,"['Movie', 'Marathon', 'Review', ':', 'Spider-Man', '2', '.', 'https://t.co/lVJjvNRV4Q']",Movie Marathon Review : Spider-Man 2 . https://t.co/lVJjvNRV4Q,0.0,1.0,0.0,Neutral
26,1449083637450911754,@sholanng hello lauren how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it is for Spiderman 2 2023💪🏻💯🕷️🕷️🕷️🕷️ #insomniacgames  #Spiderman2 https://t.co/5p3KsKYt1V,"['hello', 'lauren', 'today', 'want', 'present', 'new', 'suit', 'Peter', 'Parker', 'fusion', 'spidey', 'CAP', 'hope', 'like', 'approve', 'Spiderman', '2', '2023', '️', '️', '️', '️', 'https://t.co/5p3KsKYt1V']",hello lauren today want present new suit Peter Parker fusion spidey CAP hope like approve Spiderman 2 2023 ️ ️ ️ ️ https://t.co/5p3KsKYt1V,0.0,0.749,0.251,Positive
27,1449082078490943490,@jbtuason hello  how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it is for a insomniac games Spiderman 2 2023💪🏻💯🕷️🕷️🕷️🕷️ #insomniacgames #Spiderman2 https://t.co/gfzr13QpOa,"['hello', 'today', 'want', 'present', 'new', 'suit', 'Peter', 'Parker', 'fusion', 'spidey', 'CAP', 'hope', 'like', 'approve', 'insomniac', 'games', 'Spiderman', '2', '2023', '️', '️', '️', '️', 'https://t.co/gfzr13QpOa']",hello today want present new suit Peter Parker fusion spidey CAP hope like approve insomniac games Spiderman 2 2023 ️ ️ ️ ️ https://t.co/gfzr13QpOa,0.0,0.758,0.242,Positive
28,1449081922257367043,Day 34 of asking Insomniac to please add the Captain Universe suit to Spider-Man 2 for either Peter or Miles or both 🙌 #SpiderManPS5 #SpiderMan2 #InsomniacGames https://t.co/aEYebD0qwD,"['Day', '34', 'asking', 'Insomniac', 'please', 'add', 'Captain', 'Universe', 'suit', 'Spider-Man', '2', 'either', 'Peter', 'Miles', 'https://t.co/aEYebD0qwD']",Day 34 asking Insomniac please add Captain Universe suit Spider-Man 2 either Peter Miles https://t.co/aEYebD0qwD,0.0,0.859,0.141,Neutral
29,1449049966991876101,@insomniacgames please make Agent Venom a skin for Spider-Man 2! PLEEEAAAAASE 🥺🥺🥺 #SpiderManPS5 #Spiderman2 #SpiderManMilesMorales https://t.co/cH5MRtsxuQ,"['please', 'make', 'Agent', 'Venom', 'skin', 'Spider-Man', '2', '!', 'PLEEEAAAAASE', '🥺', '🥺', '🥺', 'https://t.co/cH5MRtsxuQ']",please make Agent Venom skin Spider-Man 2 ! PLEEEAAAAASE 🥺 🥺 🥺 https://t.co/cH5MRtsxuQ,0.0,0.853,0.147,Neutral
30,1449039082055774208,"#FridayThoughts Sub to @theSENchannel &amp; it's awesome Shows, incl #TheBigThing(M/W/F 12pmET/9amPT) #PopCulture &amp; Review show! @KristianHarloff @TheSwaggyBlerd @CoyJandreau   REWATCH: #SpiderMan2 (2004); &amp; deep dive into all things about this movie! https://t.co/hhT0Nc85wC https://t.co/NGlxupMc6d","['Sub', '&', 'awesome', 'Shows', ',', 'incl', '(', '/', 'W', '/', 'F', '12pmET', '/', '9amPT', ')', '&', 'Review', 'show', '!', 'REWATCH', ':', '(', '2004', ');', '&', 'deep', 'dive', 'things', 'movie', '!', 'https://t.co/hhT0Nc85wC', 'https://t.co/NGlxupMc6d']","Sub & awesome Shows , incl ( / W / F 12pmET / 9amPT ) & Review show ! REWATCH : ( 2004 ); & deep dive things movie ! https://t.co/hhT0Nc85wC https://t.co/NGlxupMc6d",0.0,0.869,0.131,Positive
31,1449031673367105538,"#FridayThoughts Sub to @theSENchannel &amp; it's awesome Shows, incl #TheBigThing(M/W/F 12pmET/9amPT) #PopCulture &amp; Review show! @KristianHarloff @TheSwaggyBlerd @CoyJandreau   REWATCH series &amp; dive deep into #SpiderMan2('04) &amp; how it will link to #NoWayHome https://t.co/hhT0Nc85wC https://t.co/mG6rY0TxD7","['Sub', '&', 'awesome', 'Shows', ',', 'incl', '(', '/', 'W', '/', 'F', '12pmET', '/', '9amPT', ')', '&', 'Review', 'show', '!', 'REWATCH', 'series', '&', 'dive', 'deep', '(', ""'"", '04', ')', '&', 'link', 'https://t.co/hhT0Nc85wC', 'https://t.co/mG6rY0TxD7']","Sub & awesome Shows , incl ( / W / F 12pmET / 9amPT ) & Review show ! REWATCH series & dive deep ( ' 04 ) & link https://t.co/hhT0Nc85wC https://t.co/mG6rY0TxD7",0.0,0.876,0.124,Positive
32,1449011131977138187,What if #SpiderMan or #Spiderman2 on #PS4 and #PS5 had co-op #multiplayer? Why doesn't it? We talk about these and much more in our latest #podcast #episode! https://t.co/pglvruHFsu,"['co-op', '?', '?', 'talk', 'much', 'latest', '!', 'https://t.co/pglvruHFsu']",co-op ? ? talk much latest ! https://t.co/pglvruHFsu,0.0,1.0,0.0,Neutral
33,1448986412154490880,Marvel Friday: There Is No Way Home (Spider-Man 2) https://t.co/PZoeg0hB9o #SpiderMan #spidermanhomecoming #spidermancosplay #spiderman2 #spiderman2099 #spiderman3 #spidermanmovie #spidermanfan #spidermancomics #spidermanhoco #spidermanps4 #spidermancake #spidermanhomecoming,"['Marvel', 'Friday', ':', 'Way', 'Home', '(', 'Spider-Man', '2', ')', 'https://t.co/PZoeg0hB9o']",Marvel Friday : Way Home ( Spider-Man 2 ) https://t.co/PZoeg0hB9o,0.0,0.763,0.237,Positive
34,1448937757322014728,"#theater #spiderman2 #SpiderManNoWayHome #News #Movies Spider-Man: No Way Home: Doc Ock's Arms Are CGI, Not Practical Effects: No strings on me. One of the coolest touches in Sam Raimi’s 2004 Spider-Man 2 was how Alfred Molina’s Doc Ock used practical… https://t.co/Bnc9JN7EyG https://t.co/cZkbqazj7j","['Spider-Man', ':', 'Way', 'Home', ':', 'Doc', ""Ock's"", 'Arms', 'CGI', ',', 'Practical', 'Effects', ':', 'strings', '.', 'One', 'coolest', 'touches', 'Sam', 'Raimi', '’', '2004', 'Spider-Man', '2', 'Alfred', 'Molina', '’', 'Doc', 'Ock', 'used', 'practical', '…', 'https://t.co/Bnc9JN7EyG', 'https://t.co/cZkbqazj7j']","Spider-Man : Way Home : Doc Ock's Arms CGI , Practical Effects : strings . One coolest touches Sam Raimi ’ 2004 Spider-Man 2 Alfred Molina ’ Doc Ock used practical … https://t.co/Bnc9JN7EyG https://t.co/cZkbqazj7j",0.0,1.0,0.0,Neutral
35,1448892042004815883,"Though unconfirmed, new leaks have revealed previously unknown villains and gameplay improvements in Marvel's Spider-Man 2.

#Marvelgames #Marveluniverse #MarvelsSpiderMan2 #SpiderMan2 #Usa #Uk #Canada #Australia

https://t.co/7yvngnreaI https://t.co/rNGtqaZ0mf","['Though', 'unconfirmed', ',', 'new', 'leaks', 'revealed', 'previously', 'unknown', 'villains', 'gameplay', 'improvements', ""Marvel's"", 'Spider-Man', '2', '.', 'https://t.co/7yvngnreaI', 'https://t.co/rNGtqaZ0mf']","Though unconfirmed , new leaks revealed previously unknown villains gameplay improvements Marvel's Spider-Man 2 . https://t.co/7yvngnreaI https://t.co/rNGtqaZ0mf",0.266,0.631,0.104,Negative
36,1448827368446078980,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales on #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @MrKrisSteel @Midway8Monster @KelvinA313 @ChillBandit @EmperorWraith @TipDiamond2 @BloodyReckl3ss @janathan66,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
37,1448824659592482823,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales on #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @IronmanX37 @terryhe85162215 @gunnie85 @6200dre @ShakeDown2012 @Zimm804 @WOOLLEY_GAMER @notaxation @Halla290 @RyderF87 @ty,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
38,1448823843729158145,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales on #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @MagnificentBlac @Jason_Mal26 @Ceaser462 @OverdoneMemes @Overlord__X @NeksGen @Slynewt1974 @GamesAndWario @dcoop_no @,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
39,1448822936241049604,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales on #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @HardcoreMetal89 @ghostb18 @DarkLink999 @MsTechNotFancy1 @IsXboxStillLast @CFC_Isaiah @XboxJuan4K @DaXboxUniverse,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
40,1448822590676537348,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales on #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @ElysiumcoreX @RedDev25 @TheVergx @Verdict4489 @Shokio_YT @Dealer_Gaming @Dee_Batch @BrogiNaric @keloke514 @KelvinA313,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
41,1448822299537326080,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @jerry_d93 @BrianIn27926328 @Copenhagen0 @coryjt2000 @TheAshenLuca @Fac3it978 @DuevolCarter @justmenmygirls4 @Donnell52974551,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
42,1448821976559140867,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @Javongogh1987 @GameOverGreggy @Kingrandom3 @DIESEL_MDM @Javongogh1987 @GamesAndWario @Arnibarani @TKDamascus @Phvrmvceutic_L,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
43,1448821505727598592,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales  #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @COD_KING_KAK @The_CrapGamer @CraigHarris456 @crazyh0rse1234 @ChrisHarte7 @ChrisCobera90 @Stoutstizzle @OBE1plays @Griggity,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
44,1448821220594659339,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales on #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @YourMam19722720 @JoshuaincI @turboverse1990 @JacobTupua @_DTOR123_ @kidsmoove @SPgamer786 @Saltiest_Gaming @Oti09280470,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
45,1448820880885403649,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales on #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @lolkidd4life @PersonNt @PersonNt @outlaw2120 @RipStarr1 @76eaglesfan76 @EL_Kapitano2 @SuperPodshots @PS5_Disciple @MM2K,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
46,1448820599367811077,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales  #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe  @DaRealMastalin @DOC_DARK1985 @PureFlakMonkeY @DoWhatYouDo6 @JayBari_ @YungBoyGip @EternalE808 @matthew_esmar @Mattlazer4L,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
47,1448820192151326723,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales on #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @Armando12354345 @ar0dimus @bigthangs510 @MasterSith40 @jermarbates4K60 @SSWIGameNation @claudell25 @TeAndreWillisSr,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
48,1448819897878863884,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales on #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @davidscottjaffe @HipHopGamer @PostUp_bbb @ExecutiveG @E3waitfor2020 @powerman4k @bobtothedole @XcloudTimdog @Arnibarani,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
49,1448819608962703365,#Spiderman2 leaks only possible on #PS5 #Avowed pre-production #FarCry6 90% sales on #PlayStation #Amazon new #Steam competitor #luna https://t.co/LKR6K3OQLe @ChillBandit @johnniejay2 @MaineUPTDC @MorganaDesuu @The_Ron1n @GameHero235 @ballnharder_ @raheem860_ @Optimus_Code,"['leaks', 'possible', 'pre-production', '90', '%', 'sales', 'new', 'competitor', 'https://t.co/LKR6K3OQLe']",leaks possible pre-production 90 % sales new competitor https://t.co/LKR6K3OQLe,0.0,1.0,0.0,Neutral
50,1448809995085262848,SPIDERMAN across the spider verse  #spiderman #spidermannowayhome #marvel #SpiderManPS5 #amazingspiderman #SpiderMan2 #spiderman3 #spiderverse #venom #SpiderManAcrossTheSpiderVerse https://t.co/RQGLxklYFM,"['SPIDERMAN', 'across', 'spider', 'verse', 'https://t.co/RQGLxklYFM']",SPIDERMAN across spider verse https://t.co/RQGLxklYFM,0.0,1.0,0.0,Neutral
