long,lat,id,nombre,categoria,cocina,ambientacion,telefono,mail,horario,calle_nombre,calle_altura,calle_cruce,direccion_completa,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3915926862805,-34.6126940644386,1336,ACAPULCO,CAFE,,,,,,MORENO,1800,,MORENO 1800,Monserrat,Comuna 1,1093,C1093ABH
-58.4839804323544,-34.5755862536522,2823,ACCADEMIA della pizza,RESTAURANTE,TRADICIONAL,MODERNO,4522-4400,,,Triunvirato,4495,,TRIUNVIRATO AV. 4495,Villa Urquiza,Comuna 12,1431,C1431FBH
-58.4045119695884,-34.611426664275,678,A CORUÃƒâ€˜A,VINERIA,TRADICIONAL,CLASICO PORTEÑO,4931 3582,,,MISIONES,125,,MISIONES 125,Balvanera,Comuna 3,1083,C1083ABC
-58.4102801883804,-34.5894052966562,1638,ACQUANOVA,,MINUTAS,CLASICO PORTEÑO,4825 1833,,lunes a domingo de 8 a 3,DIAZ CNEL.,1879,,"DIAZ, CNEL. AV. 1879",Recoleta,Comuna 2,1425,C1425DQE
-58.4156704795484,-34.5977724811516,1639,ACROPOLIS,CAFE,SANDWICHERIA,CLASICO PORTEÑO,4963 4888,,lunes a viernes de 7 a 20,CORDOBA,3493,,CORDOBA AV. 3493,Recoleta,Comuna 2,1188,C1188AAA
-58.4582662452415,-34.6397026297938,1124,ACUARIO,RESTAURANTE,PARRILLA,CLASICO PORTEÑO,,,,VARELA,920,,VARELA AV. 920,Flores,Comuna 7,1406,C1406EKT
-58.4526173083536,-34.5652746392368,489,ADANN,RESTAURANTE,INTERNACIONAL,CLASICO PORTEÑO,4783 6429,,,HERNANDEZ JOSE,2345,,"HERNANDEZ, JOSE 2345",Belgrano,Comuna 13,1426,C1426EOO
-58.3978524485828,-34.5971462910532,1641,AFICHE,CAFE,INTERNACIONAL,CLASICO PORTEÑO,4822 8979,,,ALVEAR MARCELO T. De,2119,,"ALVEAR, MARCELO T. De 2119",Recoleta,Comuna 2,1122,C1122AAG
-58.5204762988863,-34.6261576559457,2648,A FUEGO LENTO,RESTAURANTE,TRADICIONAL,RUSTICA,4644 6566,,,SANTO TOME,5915,,SANTO TOME 5915,Versalles,Comuna 10,1408,C1408AYM
-58.3593958700541,-34.6287975060264,1222,AGARRATE CATALINA,RESTAURANTE,PARRILLA,CLASICO PORTEÑO,4307 1099,,lunes a sábado de 9 a 16 y de 19 a 21,CABOTO,537,,CABOTO 537,Boca,Comuna 4,1157,C1157ABI
-58.3840685694159,-34.5893647755948,1951,AGRAZ,RESTAURANTE,INTERNACIONAL,MODERNO,4859 1129,,,POSADAS,1232,,POSADAS 1232,Retiro,Comuna 1,1011,C1011ABF
-58.3654687594726,-34.6201025482923,1591,AIRES DE PATAGONIA,RESTAURANTE,PATAGONICA,RUSTICA,4315 2151,www.airesdepatagonia.com,lunes a lunes de 11 al cierre,MOREAU DE JUSTO ALICIA,1798,,"MOREAU DE JUSTO, ALICIA AV. 1798",Puerto Madero,Comuna 1,1107,C1107AFJ
-58.3709123711811,-34.615986926579,2547,A. J. JARDIN CERVERCERO,RESTAURANTE,TRADICIONAL,CLASICO PORTEÑO,4300 7480,,lunes a domingo de 9 a 5,CHILE,342,,CHILE AV. 342,San Telmo,Comuna 1,1098,C1098AAH
-58.392352795362,-34.6139538680252,677,ALA...,RESTAURANTE,,,,,,BELGRANO,1836,,BELGRANO AV. 1836,Balvanera,Comuna 3,1094,C1094AAN
-58.4105058134453,-34.6105257336666,679,ALABAMA,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4861 2210,,,RIVADAVIA,3102,,RIVADAVIA AV. 3102,Balvanera,Comuna 3,1203,C1203AAQ
-58.4340620412701,-34.5758678626506,13,ALABAMA,RESTAURANTE,,,,,,SANTA FE,5270,,SANTA FE AV. 5270,Palermo,Comuna 14,1425,C1425BIO
-58.3905313648543,-34.6114376400842,1337,ALAI,CAFE,MINUTAS,MODERNO,4377 2363,,,ALSINA ADOLFO,1702,,"ALSINA, ADOLFO 1702",Monserrat,Comuna 1,1088,C1088AAR
-58.3995221724229,-34.5968759476304,1637,A LA MAROSKA,RESTAURANTE,INTERNACIONAL,CLASICO PORTEÑO,4824 8878,,,ALVEAR MARCELO T. De,2251,,"ALVEAR, MARCELO T. De 2251",Recoleta,Comuna 2,1122,C1122AAI
-58.3835654247122,-34.6091223514257,1339,ALAMEDA,RESTAURANTE,INTERNACIONAL,,4381 2859,,lunes a lunes de 12 a 15 y de 20 a 00,DE MAYO,1203,,DE MAYO AV. 1203,Monserrat,Comuna 1,1085,C1085ABC
-58.3976585394593,-34.5871958739754,1642,ALAMEDA,RESTAURANTE,MINUTAS,MODERNO,4803 3380,,,LAS HERAS GRAL.,2324,,LAS HERAS GENERAL AV. 2324,Recoleta,Comuna 2,1425,C1425ASN
-58.4325800011467,-34.5866983934752,8,AL ANDALUZ,BAR,MEDITERRANEA,ANTIGUO,4832 9286,,,GODOY CRUZ,1823,,GODOY CRUZ 1823,Palermo,Comuna 14,1414,C1414CYM
-58.3734005626542,-34.6160696271792,2548,ALARICO,RESTAURANTE,ESPAÃ‘OLA,CLASICO PORTEÑO,,alarico_tapas@hotmail.com,lunes a viernes de 12 a 00 - sábado de 20 a 3,CHILE,518,,CHILE 518,San Telmo,Comuna 1,1098,C1098AAL
-58.3789128977236,-34.6220250119479,1093,AL BAR,BAR,INTERNACIONAL,MODERNO,4300 5208,,,SAN JUAN,915,,SAN JUAN AV. 915,Constitucion,Comuna 1,1147,C1147AAH
-58.4072536000253,-34.6102915350267,680,ALBERNIZ,CAFE,PIZZERIA,CLASICO PORTEÑO,4861 7500,,,RIVADAVIA,2886,,RIVADAVIA AV. 2886,Balvanera,Comuna 3,1203,C1203AAN
-58.3775746026122,-34.619692937017,1094,ALBOR,BAR,PARRILLA,CLASICO PORTEÑO,,,,CALVO CARLOS,819,,"CALVO, CARLOS 819",Constitucion,Comuna 1,1102,C1102AAQ
-58.3965727156047,-34.59868723887,1640,AL CLUB,RESTAURANTE,PORTEÃ‘A,MODERNO,4963 0040,,,PARAGUAY,2044,,PARAGUAY 2044,Recoleta,Comuna 2,1121,C1121ABF
-58.4305246413677,-34.6052394078234,611,ALDEA DE ALBARICOQUE,RESTAURANTE,,,4865 4207,,,LAMBARE,847,,LAMBARE 847,Almagro,Comuna 5,1185,C1185ABA
-58.385573258854,-34.5984218394274,1952,ALEA,CAFE,,,,,,TALCAHUANO,888,,TALCAHUANO 888,Retiro,Comuna 1,1013,C1013AAR
-58.4294703447175,-34.5990424037163,2657,ALE- ALE,,PARRILLA,RUSTICA,4867 4618,,,ESTADO DE ISRAEL,4503,,ESTADO DE ISRAEL AV. 4503,Villa Crespo,Comuna 15,1185,C1185AAE
-58.3887758598438,-34.5993068981028,1955,ALEKS,CAFE,,,,,,CORDOBA,1541,,CORDOBA AV. 1541,Recoleta,Comuna 2,1055,C1055AAF
-58.3714442194098,-34.6007914296948,2097,ALEXANDER,RESTAURANTE,INTERNACIONAL,,4315 0112,,,TUCUMAN,304,,TUCUMAN 304,San Nicolas,Comuna 1,1049,C1049AAH
-58.4187258842273,-34.5890033424844,12,ALFONSO 1RO,RESTAURANTE,,,,,,PARAGUAY,3948,,PARAGUAY 3948,Palermo,Comuna 14,1425,C1425BSD
-58.4025772889453,-34.5953997096935,1643,ALFRED,RESTAURANTE,MINUTAS,MODERNO,4827 4200,alfred_cocinabar@hotmail.com,,PUEYRREDON AV,1335,,PUEYRREDON AV. 1335,Recoleta,Comuna 2,1118,
-58.432140621757,-34.5873739032278,10,AL FRESCO,RESTAURANTE,TRADICIONAL,CLASICO PORTEÑO,4833 2776,,lunes a sábado de 8 a 20,HONDURAS,5201,,HONDURAS 5201,Palermo,Comuna 14,1414,C1414BMU
-58.3720946676472,-34.5995978305796,2098,ALGO NATURAL,RESTAURANTE,TRADICIONAL,MODERNO,4312 5976,,lunes a viernes de 8 a 16,VIAMONTE,351,,VIAMONTE 351,San Nicolas,Comuna 1,1053,C1053ABG
-58.4852126532394,-34.6347287330502,2630,ALHAMBRA,RESTAURANTE,PIZZERIA,CLASICO PORTEÑO,4674 3588,,,RIVADAVIA,8628,,RIVADAVIA AV. 8628,Velez Sarsfield,Comuna 10,1407,C1407DYV
-58.4316063637563,-34.5890697016418,14,ALHARACA,RESTAURANTE,MINUTAS,MODERNO,4831 2787,,,GORRITI,5045,,GORRITI 5045,Palermo,Comuna 14,1414,C1414BJQ
-58.3739969635399,-34.6013869582901,2100,ALIMENTAR,RESTAURANTE,,,4328 7700,www.alimentar.com,,SAN MARTIN,570,,SAN MARTIN 570,San Nicolas,Comuna 1,1004,C1004AAL
-58.382856313198,-34.6026351006136,2099,ALIMENTARI,RESTAURANTE,INTERNACIONAL,,4384 9364,www.alimentari.com,,LAVALLE,1120,,LAVALLE 1120,San Nicolas,Comuna 1,1048,C1048AAD
-58.3720883301147,-34.604362556171,2101,ALIMENTOS,RESTAURANTE,FAST FOOD,MODERNO,4343 5656,info@alimentos.com,lunes a viernes de 7 a 19,SARMIENTO,372,,SARMIENTO 372,San Nicolas,Comuna 1,1041,C1041AAH
-58.5042992870584,-34.6529049677731,1285,ALL VERDI,RESTAURANTE,INTERNACIONAL,MODERNO,4686 2932,,,OLIDEN,1493,,OLIDEN 1493,Mataderos,Comuna 9,1440,C1440CQC
-58.4061017502171,-34.5956177623085,1645,ALMACEN NATURISTA,RESTAURANTE,NATURISTA,MODERNO,4963 1513,,lunes a sábado de 8 a 22,MANSILLA LUCIO NORBERTO GRAL.,2740,,"MANSILLA, LUCIO NORBERTO, GENERAL 2740",Recoleta,Comuna 2,1425,C1425BPF
-58.4352429850302,-34.5815867281755,15,ALMONTE,RESTAURANTE,ESPAÃ‘OLA,ESPAÑOL,4773 7070,,,BONPLAND,1939,,BONPLAND 1939,Palermo,Comuna 14,1414,C1414CMY
-58.4349591226961,-34.6175447063128,956,ALO - ALO,RESTAURANTE,TRADICIONAL,ELEGANTE,4902 8050,,,RIVADAVIA,4945,,RIVADAVIA AV. 4945,Caballito,Comuna 6,1424,C1424CEE
-58.4571309153791,-34.6267531896887,1123,ALPINA SKATE,PUB,SANDWICHERIA,CLASICO PORTEÑO,4611 9218,alpina@fibertel.com.ar,,RIVADAVIA,6431,,RIVADAVIA AV. 6431,Flores,Comuna 7,1406,C1406GLH
-58.4266733714375,-34.5919434442877,9,AL SHARK,RESTAURANTE,ARABE,ARABE,4833 6933,www.alshark.com.ar,,SCALABRINI ORTIZ RAUL,1426,,"SCALABRINI ORTIZ, RAUL AV. 1426",Palermo,Comuna 14,1414,C1414DOO
-58.3704470888225,-34.6100760158173,1338,ALSINA 300,RESTAURANTE,MINUTAS,MODERNO,4331 7636,,lunes a viernes de 8 a 19.30,ALSINA ADOLFO,300,,"ALSINA, ADOLFO 300",Monserrat,Comuna 1,1087,C1087AAB
-58.4155295351901,-34.586056029037,11,AL TAGLIO PIZZORANTE,RESTAURANTE,,,,,,ARAOZ,2476,,ARAOZ 2476,Palermo,Comuna 14,1425,C1425DGL
-58.436013702126,-34.6258981411022,958,ALTO GOYENO,RESTAURANTE,TRADICIONAL,MODERNO,4924 6500,,,GOYENA PEDRO,599,,"GOYENA, PEDRO AV. 599",Caballito,Comuna 6,1424,C1424BSF
-58.4862941105188,-34.6406879655341,1522,ALVEAR PARK,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4881 0102,,lunes a lunes de 7 a 23,ALBERDI JUAN BAUTISTA,4302,,"ALBERDI, JUAN BAUTISTA AV. 4302",Parque Avellaneda,Comuna 9,1407,C1407GZX
-58.4707515402938,-34.6311188201872,1125,AMADEUS,PUB,,,,,,RIVADAVIA,7472,,RIVADAVIA AV. 7472,Flores,Comuna 7,1406,C1406GMR
-58.4079654297506,-34.6196678513415,682,AMAKAI,CAFE,MINUTAS,CLASICO PORTEÑO,4932 7909,,,INDEPENDENCIA,3001,,INDEPENDENCIA AV. 3001,Balvanera,Comuna 3,1225,C1225AAM
-58.4696312000785,-34.5827771431412,2749,AMARETTO,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4552 0080,,lunes a lunes de 8 a 23,CHORROARIN,1206,,CHORROARIN AV. 1206,Villa Ortuzar,Comuna 15,1427,C1427CXW
-58.4973452181607,-34.5969888634963,2696,AMBAR BUENOS AIRES,PUB,SANDWICHERIA,MODERNO,,,,BEIRO FRANCISCO,3124,,"BEIRO, FRANCISCO AV. 3124",Villa Del Parque,Comuna 11,1419,C1419HYS
-58.4413301880226,-34.6088800007243,957,AMERICA,RESTAURANTE,TRADICIONAL,,4982 0398,,lunes a domingo mediodía y noche,HIDALGO,899,,HIDALGO 899,Caballito,Comuna 6,1405,C1405BCM
-58.3749608012881,-34.6089784381209,1340,AMERICA DELI,CAFE,MINUTAS,MODERNO,4381 4807,,,PERU,85,,PERU 85,Monserrat,Comuna 1,1067,C1067AAA
-58.3864079212694,-34.6133748439413,1342,AMERICANO,BAR,,,4982 7790,,,BELGRANO,1421,,BELGRANO AV. 1421,Monserrat,Comuna 1,1093,C1093AAC
-58.3818340826569,-34.6165375578923,1341,AMICO,CAFE,MINUTAS,MODERNO,4381 4807,,,CHILE,1110,,CHILE 1110,Monserrat,Comuna 1,1098,C1098AAX
-58.3866953976423,-34.6064117850412,2102,AMIGOS,BAR,MINUTAS,CLASICO PORTEÑO,4372 2671,,lunes a viernes de 7 a 22,PERON JUAN DOMINGO TTE.,1417,,"PERON, JUAN DOMINGO, TTE. GENERAL 1417",San Nicolas,Comuna 1,1037,C1037ACA
-58.3876950440261,-34.5862135902441,1644,AMIGOS PROPIETARIOS,RESTAURANTE,TRADICIONAL,,,,lunes a domingo mediodía y noche,AYACUCHO,2183,,AYACUCHO 2183,Recoleta,Comuna 2,1112,C1112AAM
-58.3815110412089,-34.6163938953059,1095,AMIKO,RESTAURANTE,PIZZERIA,,4381 4807,,lunes a domingo de 12 a 15 y de 20 a 00,LIMA,700,,LIMA 700,Monserrat,Comuna 1,1073,C1073AAN
-58.3701506172542,-34.6021483460936,2104,ANAHI,BAR,MINUTAS,CLASICO PORTEÑO,4311 2412,,lunes a viernes de 7 a 21,ALEM LEANDRO N.,481,,"ALEM, LEANDRO N. AV. 481",San Nicolas,Comuna 1,1003,C1003AAE
-58.3873465923737,-34.6112084946672,1343,AÃƒâ€˜ARO CERO,CAFE,,,4382 0083,,,ALSINA ADOLFO,1494,,"ALSINA, ADOLFO 1494",Monserrat,Comuna 1,1088,C1088AAL
-58.4052940137433,-34.5933196541842,1646,ANCHORENA PLAZA,RESTAURANTE,PIZZERIA,MODERNO,4484 8951,,,SANTA FE,2702,,SANTA FE AV. 2702,Recoleta,Comuna 2,1425,C1425BGP
-58.4345805341968,-34.5756391436412,17,ANDEN,RESTAURANTE,INTERNACIONAL,MODERNO,4773 0707,,,SANTA FE,5302,,SANTA FE AV. 5302,Palermo,Comuna 14,1425,C1425BIP
-58.4138839718904,-34.5908436022516,16,ANGECINA,RESTAURANTE,INTERNACIONAL,MODERNO,4825 1140,,lunes a domingo de 8.30 a 2,REPUBLICA DOMINICANA,3386,,REPUBLICA DOMINICANA 3386,Palermo,Comuna 14,1425,C1425GKB
-58.4421057465324,-34.5864220302753,18,ANGELIN,RESTAURANTE,PIZZERIA,MODERNO,4774 3836,,,CORDOBA,5770,,CORDOBA AV. 5770,Chacarita,Comuna 15,1414,C1414BBQ
-58.4136008843876,-34.5907686760503,19,ANGELINA,RESTAURANTE,INTERNACIONAL,MODERNO,4825 1111,angelinarestoran@hotmail.com,,CHARCAS,3386,,CHARCAS 3386,Palermo,Comuna 14,1425,C1425BMR
-58.4057703107868,-34.5927106584437,1647,ANGELO'S,CAFE,SANDWICHERIA,CLASICO PORTEÑO,,,lunes a sábado de 19 a 7,SANTA FE,2779,,SANTA FE AV. 2779,Recoleta,Comuna 2,1425,C1425BGC
-58.4605470994911,-34.5440903460782,1496,ANGELUS,RESTAURANTE,PIZZERIA,MODERNO,4703 2911,,,DEL LIBERTADOR,7598,,DEL LIBERTADOR AV. 7598,NuÃƒÂ±ez,Comuna 13,1429,C1429BMV
-58.4713518860305,-34.6312854934217,1126,ANGLO,CAFE,,,,,,RIVADAVIA,7510,,RIVADAVIA AV. 7510,Flores,Comuna 7,1406,C1406GMS
-58.3724070461193,-34.6020635910787,2103,ANGOSTURA,RESTAURANTE,MINUTAS,MODERNO,4314 2334,,lunes a viernes de 7 a 20,LAVALLE,400,,LAVALLE 400,San Nicolas,Comuna 1,1047,C1047AAH
-58.4692864118402,-34.6307310201586,1129,ANIMATE,CAFE,MINUTAS,MODERNO,,,,RIVADAVIA,7390,,RIVADAVIA AV. 7390,Flores,Comuna 7,1406,C1406GMQ
-58.45018557288,-34.5871349259748,562,ANITA,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,,,,NEWBERY JORGE,3902,,"NEWBERY, JORGE AV. 3902",Chacarita,Comuna 15,1427,C1427EGS
-58.3897818262129,-34.6007606316136,2105,ANKER,RESTAURANTE,INTERNACIONAL,,4371 9253,,,VIAMONTE,1602,,VIAMONTE 1602,San Nicolas,Comuna 1,1055,C1055ABF
-58.4466472435345,-34.5681326812137,20,ANTAÃƒâ€˜O BAR,BAR,MINUTAS,CLASICO PORTEÑO,4706 3718,,,VUELTA DE OBLIGADO,1101,,VUELTA DE OBLIGADO 1101,Palermo,Comuna 14,1426,C1426BEA
-58.4297354705563,-34.5862884745679,21,ANTE SALA,BAR,MINUTAS,MODERNO,4833 4200,,,COSTA RICA,4969,,COSTA RICA 4969,Palermo,Comuna 14,1414,C1414BSO
-58.4320467079442,-34.5925139668326,22,ANUSH,BAR,ARMENIA,ARMENIA,4631 1349,,,ARMENIA,1242,,ARMENIA 1242,Palermo,Comuna 14,1414,C1414DKB
-58.3807638569758,-34.6065398267879,2106,APETECE,RESTAURANTE,INTERNACIONAL,MODERNO,5237 5664,www.apetece.com.ar,lunes a viernes de 8 a 20,PELLEGRINI CARLOS,169,,"PELLEGRINI, CARLOS 169",San Nicolas,Comuna 1,1009,C1009ABC
-58.4120065283276,-34.615315863483,681,APLAUSOS,RESTAURANTE,,,,,,BELGRANO,3251,,BELGRANO AV. 3251,Balvanera,Comuna 3,1210,C1210AAA
-58.3779913030963,-34.6024195918452,2108,ARABIAN FOOD,RESTAURANTE,FAST FOOD,MODERNO,4322 6705,,lunes a viernes de 7 a 1 - sábado de 10 a 2 - domingo de 12 a 1,LAVALLE,796,,LAVALLE 796,San Nicolas,Comuna 1,1047,C1047AAP
-58.395360506163,-34.6042342035178,683,ARACA BUENOS AIRES,RESTAURANTE,,,,,,AYACUCHO,408,,AYACUCHO 408,Balvanera,Comuna 3,1026,C1026AAB
-58.3769913042676,-34.6000048994859,2107,ARCANGEL,RESTAURANTE,MINUTAS,MODERNO,4322 4502,,lunes a viernes de 8 a 20,VIAMONTE,702,,VIAMONTE 702,San Nicolas,Comuna 1,1053,C1053ABP
-58.3813061550126,-34.5941130562789,1953,ARENALES 999,BAR,,,,,,ARENALES,999,,ARENALES 999,Retiro,Comuna 1,1061,C1061AAE
-58.4301903109695,-34.5708333275267,23,AREVALO AL FONDO,RESTAURANTE,TRADICIONAL,ELEGANTE,4776 5261,arevaloalfondo@hotmail.com,,AREVALO,3056,,AREVALO 3056,Palermo,Comuna 14,1426,C1426DJH
-58.4812315101119,-34.6083791978905,2690,ARGOT CAFE,PUB,SANDWICHERIA,BRITANICA,4588 1329,www.bairesrestobar.com.ar,,ALVAREZ JONTE,2744,,ALVAREZ JONTE AV. 2744,Villa Santa Rita,Comuna 11,1416,C1416EXZ
-58.4299210610117,-34.5723308769282,24,ARGUIBEL,RESTAURANTE,REGIONAL,BOHEMIO,4899 0700,www.arguibel.com,,ARGUIBEL ANDRES,2826,,"ARGUIBEL, ANDRES 2826",Palermo,Comuna 14,1426,C1426DKB
-58.5237445127081,-34.6392082186613,1266,ARI- CA,RESTAURANTE,MINUTAS,MODERNO,4641 0076,,,COSQUIN,25,,COSQUIN 25,Liniers,Comuna 9,1408,C1408GIA
-58.5220314976707,-34.638991455549,1268,ARI- CA II,RESTAURANTE,MINUTAS,MODERNO,,,,RIVADAVIA,11156,,RIVADAVIA AV. 11156,Liniers,Comuna 9,1408,C1408AAY
-58.4307484113099,-34.5916620638737,25,ARMENIA RETAURANT,RESTAURANTE,ARMENIA,ARMENIA,4776 2500,,,ARMENIA,1366,,ARMENIA 1366,Palermo,Comuna 14,1414,C1414DKD
-58.4363125664069,-34.6183269474209,959,ARMY CAFE,RESTAURANTE,INTERNACIONAL,MODERNO,4903 8802,sugerencias@cafearmy.coma.r,,RIVADAVIA,5000,,RIVADAVIA AV. 5000,Caballito,Comuna 6,1424,C1424CER
-58.3752840230068,-34.6030576145388,2109,AROMA,RESTAURANTE,MINUTAS,MODERNO,4326 6707,aromaa@arcor.com,,FLORIDA,428,,FLORIDA 428,San Nicolas,Comuna 1,1005,C1005AAJ
-58.3850844716216,-34.5957227461066,1956,AROMA AMBIENTAL,BAR,,,,,,SANTA FE,1260,,SANTA FE AV. 1260,Retiro,Comuna 1,1059,C1059ABT
-58.3662253263034,-34.6278258273059,1223,AROMA EXPRESS,RESTAURANTE,MINUTAS,MODERNO,4300 6552,,lunes a domingo de 8 a 00,PI Y MARGALL,775,,PI Y MARGALL 775,Boca,Comuna 4,1155,C1155AHC
-58.4317957824947,-34.6021723930703,613,AROMI,RESTAURANTE,MINUTAS,MODERNO,,,,CORRIENTES,4690,,CORRIENTES AV. 4690,Almagro,Comuna 5,1195,C1195AAS
-58.4598773033517,-34.6279630684178,1130,AROMI,BAR,ITALIANA,MODERNO,4633 6915,,,RIVADAVIA,6701,,RIVADAVIA AV. 6701,Flores,Comuna 7,1406,C1406GLK
-58.4282404935788,-34.6203491674982,960,ARRIGO,CAFE,,,,,,LA PLATA,479,,LA PLATA AV. 479,Caballito,Comuna 6,1235,C1235ABB
-58.3726088740394,-34.6421465066889,896,ARSENO,RESTAURANTE,PIZZERIA,CLASICO PORTEÑO,4301 7894,,,ISABEL LA CATOLICA,1094,,ISABEL LA CATOLICA 1094,Barracas,Comuna 4,1268,C1268ACV
-58.372588617779,-34.6219662040208,2550,ARTE CAFE,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4361 2002,,lunes a domingo de 7.30 al cierre,SAN JUAN,480,,SAN JUAN AV. 480,San Telmo,Comuna 1,1147,C1147AAP
-58.4297535865296,-34.5875747462349,26,ARTE DE MAFIA,RESTAURANTE,ITALIANA,ITALIANA,4831 9213,www.artedemafia.com.ar,,EL SALVADOR,4975,,EL SALVADOR 4975,Palermo,Comuna 14,1414,C1414BPO
-58.3830195430998,-34.6156151902567,1344,ARTESANIA DEL SABOR,RESTAURANTE,TRADICIONAL,MODERNO,4381 9075,,,SALTA,622,,SALTA 622,Monserrat,Comuna 1,1074,C1074AAN
